episodes,rewards,time
1.0,-336.939,0.226021
31.002890173410403,-336.919,0.7222189999999999
61.005780346820806,-342.622,1.4030459999999998
91.0086705202312,-325.966,2.280151
121.01156069364161,-343.735,3.346658
151.014450867052,-337.723,4.60104
181.0173410404624,-342.499,6.0407150000000005
211.02023121387282,-337.978,7.670119000000001
241.02312138728323,-339.846,9.4863
271.02601156069363,-333.563,11.48638
301.028901734104,-331.97,14.624897
331.03179190751445,-348.8,17.957792
361.0346820809248,-310.484,21.497185
391.03757225433526,-345.726,25.221924
421.04046242774564,-323.351,29.134199000000002
451.0433526011561,-326.058,33.246452000000005
481.04624277456645,-335.77,37.588088000000006
511.04913294797683,-320.885,42.11375100000001
541.0520231213873,-340.817,46.82639700000001
571.0549132947976,-329.446,51.72619300000001
601.057803468208,-315.893,57.75303500000001
631.0606936416185,-327.046,64.01109000000001
661.0635838150289,-332.318,70.46091100000001
691.0664739884393,-345.358,77.095898
721.0693641618496,-324.2,83.91720600000001
751.07225433526,-314.352,90.92489
781.0751445086705,-309.034,98.115903
811.0780346820809,-336.238,105.503269
841.0809248554913,-328.321,113.07729
871.0838150289017,-340.61,120.836533
901.0867052023121,-347.977,129.733328
931.0895953757225,-330.303,138.823464
961.0924855491329,-341.754,148.144195
991.0953757225433,-330.255,157.652365
1021.0982658959537,-325.019,167.347281
1051.1011560693642,-332.497,177.22672500000002
1081.1040462427745,-342.824,187.292775
1111.106936416185,-325.259,197.548948
1141.1098265895953,-329.084,208.009083
1171.1127167630057,-313.502,218.653664
1201.115606936416,-336.733,230.44261
1231.1184971098264,-311.064,242.41606000000002
1261.121387283237,-338.272,254.58896900000002
1291.1242774566474,-343.297,266.96627
1321.1271676300578,-332.965,279.52745500000003
1351.1300578034682,-328.05,292.27672700000005
1381.1329479768785,-314.295,305.21237600000006
1411.135838150289,-345.535,318.33235900000005
1441.1387283236993,-336.622,331.64612200000005
1471.1416184971097,-339.725,345.14951400000007
1501.14450867052,-340.276,359.79948500000006
1531.1473988439307,-335.562,374.65578600000003
1561.150289017341,-316.808,389.70285
1591.1531791907514,-348.392,404.973257
1621.1560693641618,-314.965,420.43460899999997
1651.1589595375722,-346.466,436.08007799999996
1681.1618497109826,-332.68,451.91154299999994
1711.164739884393,-347.851,467.9299459999999
1741.1676300578033,-347.354,484.1321439999999
1771.1705202312137,-340.337,500.53521399999994
1801.1734104046243,-324.116,518.0759599999999
1831.1763005780347,-330.973,535.8026559999998
1861.179190751445,-341.737,553.7252579999998
1891.1820809248554,-326.533,571.8474429999999
1921.1849710982658,-329.344,590.1848049999999
1951.1878612716762,-329.111,608.7092319999998
1981.1907514450866,-315.148,627.4202429999998
2011.193641618497,-349.435,646.3162759999998
2041.1965317919073,-330.641,665.5318309999998
2071.199421965318,-343.364,684.9340899999997
2101.2023121387283,-338.262,705.4699549999998
2131.2052023121387,-326.054,726.1945069999998
2161.208092485549,-319.528,747.1246699999998
2191.2109826589594,-328.051,768.2400029999998
2221.21387283237,-332.499,789.5576499999997
2251.21676300578,-338.0,811.0634739999997
2281.2196531791906,-334.185,832.7528349999997
2311.222543352601,-353.627,854.6292719999997
2341.2254335260113,-313.901,876.6910599999997
2371.2283236994217,-331.143,898.9375099999996
2401.231213872832,-333.318,922.3194769999997
2431.2341040462425,-306.599,945.8891809999997
2461.236994219653,-337.609,969.6540029999996
2491.2398843930637,-323.275,993.6018809999996
2521.242774566474,-312.922,1017.7811289999996
2551.2456647398844,-333.697,1042.1735399999995
2581.248554913295,-339.934,1066.7544309999996
2611.251445086705,-330.179,1091.5218059999995
2641.2543352601156,-332.697,1116.4730189999996
2671.257225433526,-339.085,1141.6110899999996
2701.2601156069363,-329.728,1167.8789319999996
2731.2630057803467,-336.303,1194.3367059999996
2761.265895953757,-337.54,1220.9875519999996
2791.2687861271675,-329.38,1247.8259689999995
2821.271676300578,-322.828,1274.8515189999996
2851.274566473988,-347.245,1302.0859019999996
2881.2774566473986,-330.65,1329.5068969999995
2911.280346820809,-334.384,1357.1143349999995
2941.2832369942194,-331.817,1384.9078119999995
2971.2861271676297,-323.994,1412.8854909999995
3001.28901734104,-323.062,1442.0067989999995
3031.291907514451,-325.767,1471.3260969999994
3061.2947976878613,-334.739,1500.8327599999993
3091.2976878612717,-319.709,1530.5267859999992
3121.300578034682,-332.58,1560.4043019999992
3151.3034682080925,-351.401,1590.4675359999992
3181.306358381503,-334.995,1620.7395419999991
3211.309248554913,-331.953,1651.199295999999
3241.3121387283236,-312.206,1681.841965999999
3271.315028901734,-304.679,1712.6705579999991
3301.3179190751443,-338.0,1744.6552509999992
3331.3208092485547,-324.357,1776.8462989999991
3361.323699421965,-342.492,1809.2306059999992
3391.3265895953755,-333.272,1841.8078659999992
3421.329479768786,-337.502,1874.5713449999992
3451.3323699421962,-333.782,1907.519909999999
3481.3352601156066,-336.086,1940.6553629999992
