episodes,rewards,time
1.0,-256.540054,0.025861
31.002900290029004,-267.726229,0.066138
61.00580058005801,-269.79805,0.121642
91.00870087008701,-274.136177,0.191797
121.01160116011602,-271.987433,0.275366
151.01450145014502,-275.513906,0.37152
181.01740174017402,-267.764809,0.479946
211.02030203020303,-275.542619,0.60407
241.02320232023203,-279.49829,0.74082
271.02610261026103,-276.398906,0.88976
301.02900290029004,-273.499932,1.079089
331.03190319031904,-273.235098,1.280759
361.03480348034805,-264.856422,1.49452
391.03770377037705,-284.107845,1.723915
421.04060406040605,-267.484154,1.966285
451.04350435043506,-274.603535,2.2226090000000003
481.04640464046406,-289.639893,2.4913450000000004
511.04930493049307,-270.653034,2.7726660000000005
541.0522052205221,-278.013384,3.0663510000000005
571.0551055105511,-278.499537,3.3723490000000007
601.0580058005801,-274.320396,3.7221540000000006
631.060906090609,-277.03243,4.084135000000001
661.0638063806381,-285.282514,4.458545000000001
691.0667066706671,-281.680608,4.845163000000001
721.0696069606961,-293.264342,5.243989000000001
751.072507250725,-280.189672,5.6555740000000005
781.0754075407541,-293.897292,6.080577000000001
811.0783078307832,-293.959942,6.522138000000001
841.0812081208121,-275.687397,6.976083000000001
871.084108410841,-277.83095,7.442818000000001
901.0870087008701,-272.436969,7.949806000000001
931.0899089908992,-286.538968,8.469033000000001
961.0928092809281,-277.221058,9.003480000000001
991.0957095709571,-274.022652,9.550353000000001
1021.0986098609861,-269.515173,10.110599
1051.1015101510152,-272.219961,10.689896000000001
1081.1044104410441,-271.181327,11.28734
1111.107310731073,-269.074478,11.901828
1141.1102110211023,-278.748633,12.532941000000001
1171.1131113111312,-274.488964,13.184664000000001
1201.1160116011602,-265.983028,13.879111000000002
1231.118911891189,-267.47606,14.586498000000002
1261.121812181218,-276.584975,15.306479000000003
1291.1247124712472,-269.957202,16.038890000000002
1321.1276127612762,-267.421499,16.786728000000004
1351.1305130513051,-272.516513,17.548790000000004
1381.1334133413343,-276.084474,18.323411000000004
1411.1363136313632,-284.813739,19.110433000000004
1441.1392139213922,-277.90629,19.909826000000002
1471.1421142114211,-274.238229,20.721627
1501.14501450145,-265.276009,21.57552
1531.1479147914793,-276.2978,22.442709
1561.1508150815082,-268.773147,23.322415
1591.1537153715371,-269.158805,24.214859
1621.1566156615663,-269.577221,25.119825000000002
1651.1595159515953,-264.052098,26.038375000000002
1681.1624162416242,-260.448429,26.970424
1711.1653165316532,-272.109304,27.915297000000002
1741.168216821682,-265.421031,28.876319000000002
1771.1711171117113,-246.057912,29.849850000000004
1801.1740174017402,-263.198384,30.860210000000002
1831.1769176917692,-270.399904,31.883061
1861.1798179817984,-275.151507,32.920486000000004
1891.1827182718273,-266.635655,33.975784000000004
1921.1856185618562,-272.533243,35.045413
1951.1885188518852,-252.793854,36.127631
1981.1914191419141,-254.45374,37.222353
2011.1943194319433,-267.967285,38.329372
2041.1972197219723,-273.734576,39.44902
2071.200120012001,-239.561643,40.580971999999996
2101.2030203020304,-252.948977,41.754546999999995
2131.205920592059,-254.801984,42.940847
2161.2088208820883,-260.435655,44.139607
2191.2117211721174,-247.075786,45.351526
2221.214621462146,-272.036836,46.576392
2251.2175217521753,-255.776897,47.813559999999995
2281.2204220422045,-276.860862,49.063165999999995
2311.2233223322332,-251.193068,50.324878999999996
2341.2262226222624,-242.228616,51.60254199999999
2371.229122912291,-248.839393,52.89253699999999
2401.2320232023203,-239.809463,54.22011499999999
2431.2349234923495,-244.706191,55.560297999999996
2461.237823782378,-233.876068,56.912963
2491.2407240724074,-255.609321,58.277961999999995
2521.243624362436,-224.233758,59.659260999999994
2551.2465246524653,-252.639824,61.052851999999994
2581.2494249424944,-268.500054,62.45852899999999
